thesis,evaluation,argumentativeness,cola,sas
"For example, if you needed um if you needed to add uh a voice recognition, right, then your user interface would be split, broken down into more components, right,",0.5473582,0.060383685,False,0.11142754180909335
"like um voice recognition, right, um, if it's something which is important then we just add more power rather than having a thing that we don't have enough power.",0.5480742,0.20150617,False,0.048687068083455375
"So um that's really good, like we've s had much to talk about that um pretty much run out of time to do so.",0.47587323,0.054284077,False,0.5643764759984932
"But unless the controller's gonna consume a lot of batteries, like he's gonna run through like twenty batteries a month,",0.4885016,0.074979365,False,0.5864800640637715
"'Cause what what I'm I'd be a bit worried about is if someone was h had previously developed habits of expecting to control surround sound or this and that with their controller and then and then they, you know, w they get ours and w it's doesn't have that.",0.46791926,0.0582986,False,0.5453848961637559
um and then you can just work through it and we 'll either modify it or start from scratch um depending on what your needs are.,0.53132236,0.09631281,True,0.45890544299191754
"I really thi i I think maybe if we'd like all been working in the one room, and they just said you know like every hour or something everybody make sure yo you know just have a have a short meeting and then just c",0.5220238,0.029633626,False,0.512866465905977
um and then you can just work through it and we 'll either modify it or start from scratch um depending on what your needs are.,0.53132236,0.09631281,True,0.45890544299191754
"anyway it's a it's something that can be used to fulfil a function, but at end of the day we don't look at the technology, but we look at the function first.",0.5047922,0.11642382,False,0.4890755220470412
"Um Right <gap> to do the um the design I have I've had a look online, I've had a look at the homepage, which has given us um some insp inspiration from previous products.",0.649758,-0.0009773135,False,0.5513619615777627
"Well, um one of the things that we have to decide on by the end of the meeting is who we're gonna be um who's our our target audience, our target market.",0.52470446,0.07907165,False,0.6033046286190145
"Um people uh additionally aren't aren't liking the appearance of their products, so we wanna think about as we take all the sort of the techie features how we can um put that into a unit which is which people like.",0.53508,0.08035218,False,0.554443210697302
"It's more more just that we we think about like what it is we're trying to achieve, so and then we have one one sorta theme that we stick with.",0.55756843,0.092147864,False,0.4498132970586583
"so I think that there is some restriction on um I think you could probably group plastic and rubber together, wood and titanium,",0.5484613,0.046038307,True,0.5327243476462457
"It might even be one, a bit more complex L_C_D_ panel with pictures like maybe the sun or the, you know, the the symbols of the various functions.",0.5061172,-0.021649554,False,0.200666317987032
"S so like cur slightly transparent case, so it's yellow, like tinted yellow, but you can maybe see through it.",0.5362567,-0.031882364,False,0.45250202759701685
"something which is, I'd have to say very high-tech, ten gigabytes, whatever, but when you hold it in your hand there's like no buttons.",0.43149072,0.01832298,True,0.4793807894047166
"Well, but then for um for skipping a large amount of channels you do have to uh to skip the channel button, the number part.",0.61735857,0.05541194,False,0.5698773880434578
"Um just whatever else we wanted to include as the advanced functions, um we didn't actually go through and specify the",0.4989826,0.07371705,False,0.4148161338519704
"Well m I'm thinking along the lines of you're you're in the dark watching a D_V_D_ and you um you find the thing in the dark and you go like this,",0.40507236,-0.008717628,False,0.3958972633473396
