thesis,evaluation,argumentativeness,cola,sas
"Like remote control is similar, you're away on vacation, I dunno whatever, you something, and it just starts to get worn down.",0.5076674,0.03977294,False,0.1887953525796395
"say you wanna pick up the phone, there's a mute button, right, so you you have you have a choice of putting it on to um others or a device.",0.4434537,0.04918442,False,0.5038953027250017
"if you get frustrated wi remote control you can throw it, kind of you know just uh you know um so.",0.48829666,0.0300941,False,0.526798719666675
"Um, were gonna have the volume control here, but um because we've got the the L_C_D_ and the jog-dial we just thought we'd um use that as the volume.",0.5813266,0.011334368,False,0.4918601856073663
"I mean you say you wanted the the corporate colours, but they don't say you know if we can use any other colours at all or",0.640934,0.08161492,False,0.4533292209578009
"I dunno the <gap> Whatever just some theme and then we have different tones, lime green, lemon.",0.5641853,0.01807868,False,0.4345135417018154
"So back to your idea about um incorporating the idea of like fruit and veg, and the corporate colour, and things like that.",0.54593545,0.13230318,False,0.5111439582362952
"I reckon one problem with speech recognition is um I've actually seen one of them used and uh the technology that was in that one wasn't particularly amazing, so you end up yelling at the control for hours.",0.5754713,0.064729385,True,0.5587386970778043
"Um unless an a I mean if you also would that work if we wanted to incorporate um an L_C_D_ display, where would we put that?",0.6483373,0.030650947,False,0.49287694592004305
"and also t plastic I've seen can get really textured, so you can get plastics that actually feel soft in your hand.",0.4704348,0.015696218,False,0.4985974004313098
"If you're using an advanced function right, like um c brightness, contrast, whatever, it will just say",0.54788023,0.0093175145,False,0.302891618213067
Um what else uh any wh I do I'm not really sure what they're looking for when they say new ideas found.,0.45420486,0.029934514,False,0.4513289776759487
"If we could just go up to somebody outside the meeting and have a quick talk with them, that would've been a lot easier.",0.57994616,0.03321344,True,0.5707967549329662
"and that's gonna take battery power, and to make that to make that a realistic goal I think one of the issues that will come up later is, can the battery power it?",0.52774733,0.078916155,False,0.5474880130931334
"I think structure is probably what you're saying that, each individual is structured to one particular task, and one parti rather than controlling.",0.46070147,0.077299185,False,0.5193897244340296
"rather than focusing on on exactly what are the features that we're gonna say, and then, you know, say speech recognition is good for this, speech recognition is not good for this.",0.6155242,0.1061942,False,0.4735368224296004
